time,pressure_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-06-07 11:35:08,747.14,747.3084615384615,0.011330769240329552,747.45,747.14,746.4317350746269,0.8304992268798482,748.02,744.45,746.5341302325581,0.7786432604814831,748.02,744.45,746.6906616729088,0.7229196118844367,748.05,744.45,746.6629767063923,0.8950971514520468,748.77,744.25
2022-06-07 11:37:38,747.07,747.2792307692307,0.013474358983946999,747.44,747.07,746.4326119402986,0.8312069967919604,748.02,744.45,746.5346282527881,0.7781858151542225,748.02,744.45,746.6906866416979,0.7229375669546532,748.05,744.45,746.6631771397617,0.8951119566955706,748.77,744.25
2022-06-07 11:40:08,747.14,747.2425,0.010838636374137218,747.4,747.07,746.433929236499,0.8305880770729404,748.02,744.45,746.5347397769517,0.7783075601183451,748.02,744.45,746.690742821473,0.7229830206387983,748.05,744.45,746.6633062550773,0.8949310754708188,748.77,744.25
2022-06-07 11:42:38,747.06,747.2141666666666,0.01073560607114228,747.39,747.06,746.4348044692737,0.8312731426667493,748.02,744.45,746.5348234200743,0.7783879687809201,748.02,744.45,746.6907490636703,0.7229875709705589,748.05,744.45,746.6635174654751,0.894933859191829,748.77,744.25
2022-06-07 11:45:08,747.05,747.1858333333333,0.009499242434814882,747.32,747.05,746.4355865921789,0.831907537730528,748.02,744.45,746.5349442379182,0.7784968340873961,748.02,744.45,746.6909731752962,0.7226167801790352,748.05,744.45,746.6637259680477,0.8949344340987054,748.77,744.25
2022-06-07 11:47:39,747.03,747.1616666666667,0.009433333343935184,747.32,747.03,746.4363873370577,0.8325156556604227,748.02,744.45,746.5350650557621,0.7786008329635099,748.02,744.45,746.6909045539613,0.722562664417622,748.05,744.45,746.6639507175737,0.8949124753638557,748.77,744.25
2022-06-07 11:50:09,747.0,747.1366666666667,0.009387878798510399,747.32,747.0,746.4370577281192,0.8330305059897742,748.02,744.45,746.5351765799256,0.7786912245948756,748.02,744.45,746.6908421709295,0.7225178296314092,748.05,744.45,746.6641727592743,0.8948795768668311,748.77,744.25
2022-06-07 11:52:38,746.92,747.1033333333334,0.00938787879854795,747.24,746.92,746.4376722532588,0.8334216237251131,748.02,744.45,746.5352695167286,0.7787535086789082,748.02,744.45,746.6907174048658,0.7224356273312561,748.05,744.45,746.6643541835906,0.8948508084346212,748.77,744.25
2022-06-07 11:55:08,746.93,747.0775,0.00969318182887758,747.21,746.92,746.4382681564247,0.8338180772118626,748.02,744.45,746.5353624535317,0.7788176359374892,748.02,744.45,746.6906300686212,0.7223815628158288,748.05,744.45,746.6645653939886,0.8947982197914706,748.77,744.25
2022-06-07 11:57:38,746.84,747.0466666666667,0.01218787879860232,747.19,746.84,746.4386592178771,0.834050437755509,748.02,744.45,746.535408921933,0.7788436465711888,748.02,744.45,746.690486587648,0.7223056307502466,748.05,744.45,746.6646128857606,0.8945642557377189,748.77,744.25
