time,hum_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-28 00:10:57,42.89,42.800909090909094,0.001209090907345334,42.89,42.76,43.93770093457944,3.37443721376315,49.01,41.44,44.592096474953614,4.901915006468492,50.24,40.91,44.662377666248425,7.227431568515234,50.24,39.54,45.007396433470504,11.416743521447104,50.67,36.96
2022-05-28 00:13:27,42.96,42.81363636363636,0.0035254545437104308,42.96,42.76,43.92923364485981,3.3525246924988408,49.01,41.44,44.59144712430427,4.903581190794844,50.24,40.91,44.66006273525721,7.226765470010247,50.24,39.54,45.006834887547996,11.414761062990923,50.67,36.96
2022-05-28 00:15:57,43.02,42.834545454545456,0.007247272725530987,43.02,42.76,43.92134579439252,3.3334839532360014,49.01,41.44,44.59084415584416,4.905085359162622,50.24,40.91,44.657741530740275,7.225784852172326,50.24,39.54,45.00629010145324,11.412712700239242,50.67,36.96
2022-05-28 00:18:27,43.12,42.86545454545455,0.014047272725534155,43.12,42.76,43.91360747663552,3.313752692078801,49.01,41.44,44.590306122448986,4.906356916415556,50.24,40.91,44.655464240903385,7.22451607436383,50.24,39.54,45.004735398958054,11.40975955009863,50.67,36.96
2022-05-28 00:20:57,43.1,42.89454545454546,0.017887272725537317,43.12,42.76,43.90564485981309,3.292686053414513,49.01,41.44,44.58974025974026,4.907699282518745,50.24,40.91,44.65314930991218,7.223169359990013,50.24,39.54,45.00315327666575,11.406654398606134,50.67,36.96
2022-05-28 00:23:27,43.06,42.92181818181819,0.017996363634630887,43.12,42.78,43.89771962616823,3.2723861759249244,49.01,41.44,44.58908163265306,4.909247716635366,50.24,40.91,44.65215047021944,7.220229186880174,50.24,39.54,45.00153550863723,11.403393198340991,50.67,36.96
2022-05-28 00:25:57,43.08,42.949090909090906,0.01766909090736083,43.12,42.79,43.8902429906542,3.2546181056389485,49.01,41.44,44.588432282003716,4.910753993088718,50.24,40.91,44.6497617554859,7.218632314596571,50.24,39.54,44.99989306279134,11.399863318237552,50.67,36.96
2022-05-28 00:28:27,43.1,42.97727272727273,0.016541818180091105,43.12,42.79,43.88285981308411,3.237036188175962,49.01,41.44,44.58776437847867,4.9122623139759485,50.24,40.91,44.647379310344824,7.2169567412277855,50.24,39.54,44.99822593912805,11.396058097044921,50.67,36.96
2022-05-28 00:30:57,43.12,43.00727272727273,0.014081818180094302,43.12,42.81,43.87583177570093,3.221254690748679,49.01,41.44,44.58714285714286,4.913671309192166,50.24,40.91,44.64496551724138,7.215030158785003,50.24,39.54,44.99653413764739,11.391970869857238,50.67,36.96
2022-05-28 00:33:27,43.17,43.020833333333336,0.015008333331767588,43.17,42.81,43.86919626168224,3.206995045678847,49.01,41.44,44.58653988868274,4.9149892235698704,50.24,40.91,44.64255172413794,7.212850385497243,50.24,39.54,44.99482862626816,11.387588828275108,50.67,36.96
