time,ph_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-17 15:39:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:44:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:45:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:50:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:51:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:55:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:56:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:00:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:01:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:05:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:06:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:07:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:11:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:12:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:13:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:17:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:18:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:19:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:24:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:25:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:26:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:29:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 16:30:56,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
